iter	RMSE
0	0.5847648205
1	0.5486697072
2	0.5172933009
3	0.4910320648
4	0.4664539765
5	0.444183422
6	0.4265168398
7	0.4077995405
8	0.3931257697
9	0.3788689616
10	0.3683323713
11	0.3576194488
12	0.3489964772
13	0.3411571382
14	0.3343618428
15	0.3277038841
16	0.3210996712
17	0.3152466126
18	0.3102513996
19	0.306637925
20	0.3027213807
21	0.2998627431
22	0.2963713724
23	0.29416388
24	0.2923024624
25	0.2904792818
26	0.2890563899
27	0.2866781502
28	0.2840616535
29	0.2824360432
30	0.2814293439
31	0.2797690094
32	0.2777398425
33	0.2761788478
34	0.2746115538
35	0.2742670952
36	0.2723039053
37	0.2718726205
38	0.270875916
39	0.2696473186
40	0.2682556506
41	0.2674483591
42	0.2661625138
43	0.2644914593
44	0.2639111775
45	0.2629858577
46	0.26228656
47	0.26074993
48	0.2592215832
49	0.2582699094
