iter	Passed	Remaining
0	140	6873
1	142	3417
2	144	2262
3	146	1686
4	148	1338
5	150	1107
6	153	940
7	155	815
8	157	717
9	159	638
10	161	572
11	163	517
12	165	472
13	167	429
14	168	392
15	169	359
16	170	330
17	171	304
18	172	281
19	173	260
20	175	241
21	176	224
22	177	207
23	178	193
24	179	179
25	180	166
26	181	154
27	182	143
28	183	133
29	185	123
30	186	114
31	187	105
32	188	96
33	189	89
34	190	81
35	191	74
36	192	67
37	192	60
38	194	54
39	195	48
40	196	43
41	197	37
42	198	32
43	199	27
44	200	22
45	201	17
46	202	12
47	204	8
48	205	4
49	206	0
